Centre Code,Centre Name,DET Geographic Region,EQ Zone,Local Government Area,Centre Type,School Category,State Electorate,Collection Year,School Count
465,Mary Valley State College,North Coast,Rural,Gympie (R),State School,Combined,Gympie,2012,1
72,Maryborough Central State School,North Coast,Rural,Fraser Coast (R),State School,Primary,Maryborough,2012,1
3017,Maryborough Special School,North Coast,Rural,Fraser Coast (R),Special School,Special,Maryborough,2012,1
2020,Maryborough State High School,North Coast,Rural,Fraser Coast (R),State High School,Secondary,Maryborough,2012,1
485,Maryborough West State School,North Coast,Rural,Fraser Coast (R),State School,Primary,Maryborough,2012,1
1389,Maryvale State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2012,1
3102,Mater Hospital Special School,Metropolitan,Metropolitan,Brisbane (C),Specific Purpose School,Special,South Brisbane,2012,1
1090,Mayfield State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Chatsworth,2012,1
1400,McDonnell Creek State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Mulgrave,2012,1
378,McDowall State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Everton,2012,1
1394,McIlwraith State School,North Coast,Rural,Bundaberg (R),State School,Primary,Callide,2012,1
1473,Meandarra State School,Darling Downs South West,Remote,Western Downs (R),State School,Primary,Warrego,2012,1
1673,Mena Creek State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2012,1
1733,Meridan State College,North Coast,Metropolitan,Sunshine Coast (R),State School,Combined,Kawana,2012,1
806,Merinda State School,North Queensland,Rural,Whitsunday (R),State School,Primary,Burdekin,2012,1
179,Meringandan State School,Darling Downs South West,Provincial City,Toowoomba (R),State School,Primary,Nanango,2012,1
2147,Merrimac State High School,South East,Metropolitan,Gold Coast (C),State High School,Secondary,Mermaid Beach,2012,1
1586,Merrimac State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Mudgeeraba,2012,1
1291,Miallo State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Cook,2012,1
2086,Miami State High School,South East,Metropolitan,Gold Coast (C),State High School,Secondary,Burleigh,2012,1
1890,Miami State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Burleigh,2012,1
1969,Middle Park State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mount Ommaney,2012,1
414,Middle Ridge State School,Darling Downs South West,Provincial City,Toowoomba (R),State School,Primary,Toowoomba South,2012,1
1905,Middlemount Community School,Central Queensland,Remote,Isaac (R),State School,Combined,Mirani,2012,1
2144,Miles State High School,Darling Downs South West,Rural,Western Downs (R),State High School,Secondary,Warrego,2012,1
341,Miles State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2012,1
771,Millaa Millaa State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Dalrymple,2012,1
867,Millaroo State School,North Queensland,Remote,Burdekin (S),State School,Primary,Burdekin,2012,1
157,Millchester State School,North Queensland,Rural,Charters Towers (R),State School,Primary,Dalrymple,2012,1
176,Millmerran State School,Darling Downs South West,Rural,Toowoomba (R),State School,Combined,Southern Downs,2012,1
1120,Milman State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Mirani,2012,1
2024,Milpera State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Indooroopilly,2012,1
551,Milton State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mount Coot-tha,2012,1
294,Minden State School,Metropolitan,Rural,Somerset (R),State School,Primary,Ipswich West,2012,1
265,Minimbah State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Morayfield,2012,1
2117,Mirani State High School,Central Queensland,Rural,Mackay (R),State High School,Secondary,Mirani,2012,1
658,Mirani State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2012,1
792,Miriam Vale State School,Central Queensland,Rural,Gladstone (R),State School,Combined,Burnett,2012,1
1382,Miriwinni State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Mulgrave,2012,1
1324,Mission Beach State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2012,1
1919,Mistake Creek State School,Central Queensland,Remote,Isaac (R),State School,Primary,Gregory,2012,1
27,Mitchell State School,Darling Downs South West,Remote,Maranoa (R),State School,Combined,Warrego,2012,1
3005,Mitchelton Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Everton,2012,1
2040,Mitchelton State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Ashgrove,2012,1
1538,Mitchelton State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Ashgrove,2012,1
701,Moffatdale State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Callide,2012,1
73,Moggill State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2012,1
417,Monkland State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2012,1
1513,Monogorilby State School,Darling Downs South West,Remote,North Burnett (R),State School,Primary,Callide,2012,1
2098,Monto State High School,Central Queensland,Rural,North Burnett (R),State High School,Secondary,Callide,2012,1
1831,Monto State School,Central Queensland,Rural,North Burnett (R),State School,Primary,Callide,2012,1
776,Montville State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Glass House,2012,1
1818,Mooloolaba State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Maroochydore,2012,1
309,Mooloolah State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Caloundra,2012,1
511,Moonie State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2012,1
1739,Moore Park State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2012,1
1637,Moorooka State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Yeerongpilly,2012,1
1908,Moranbah East State School,Central Queensland,Rural,Isaac (R),State School,Primary,Dalrymple,2012,1
2135,Moranbah State High School,Central Queensland,Rural,Isaac (R),State High School,Secondary,Dalrymple,2012,1
896,Moranbah State School,Central Queensland,Rural,Isaac (R),State School,Primary,Dalrymple,2012,1
1985,Morayfield East State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Morayfield,2012,1
2154,Morayfield State High School,North Coast,Metropolitan,Moreton Bay (R),State High School,Secondary,Morayfield,2012,1
125,Morayfield State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Morayfield,2012,1
1474,Moresby State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2012,1
1753,Moreton Downs State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Murrumba,2012,1
1803,Morningside State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Bulimba,2012,1
291,Mornington Island State School,North Queensland,Remote,Mornington (S),State School,Combined,Mount Isa,2012,1
525,Morven State School,Darling Downs South West,Remote,Murweh (S),State School,Primary,Warrego,2012,1
2002,Mossman State High School,Far North Queensland,Rural,Cairns (R),State High School,Secondary,Cook,2012,1
167,Mossman State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Cook,2012,1
381,Mount Alford State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2012,1
1914,Mount Archer State School,Central Queensland,Provincial City,Rockhampton (R),State School,Primary,Keppel,2012,1
284,Mount Cotton State School,South East,Metropolitan,Redland (C),State School,Primary,Redlands,2012,1
267,Mount Crosby State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2012,1
1975,Mount Fox State School,North Queensland,Rural,Hinchinbrook (S),State School,Primary,Hinchinbrook,2012,1
944,Mount Garnet State School,Far North Queensland,Remote,Tablelands (R),State School,Primary,Dalrymple,2012,1
660,Mount Gravatt East State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mansfield,2012,1
3012,Mount Gravatt Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Mansfield,2012,1
2056,Mount Gravatt State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Greenslopes,2012,1
198,Mount Gravatt State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Greenslopes,2012,1
1067,Mount Isa Central State School,North Queensland,Remote,Mount Isa (C),State School,Primary,Mount Isa,2012,1
3604,Mount Isa School of the Air,North Queensland,Remote,Mount Isa (C),School of Distance Education,Combined,Mount Isa,2012,1
3004,Mount Isa Special School,North Queensland,Remote,Mount Isa (C),Special School,Special,Mount Isa,2012,1
1166,Mount Kilcoy State School,North Coast,Rural,Somerset (R),State School,Primary,Nanango,2012,1
300,Mount Larcom State School,Central Queensland,Rural,Gladstone (R),State School,Combined,Gladstone,2012,1
1189,Mount Marrow State School,Metropolitan,Rural,Ipswich (C),State School,Primary,Ipswich West,2012,1
690,Mount Mee State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Glass House,2012,1
1109,Mount Molloy State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Cook,2012,1
526,Mount Morgan Central State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Mirani,2012,1
2010,Mount Morgan State High School,Central Queensland,Rural,Rockhampton (R),State High School,Secondary,Mirani,2012,1
1511,Mount Murchison State School,Central Queensland,Rural,Banana (S),State School,Primary,Callide,2012,1
737,Mount Nebo State School,Metropolitan,Metropolitan,Moreton Bay (R),State School,Primary,Ferny Grove,2012,1
3088,Mount Ommaney Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Mount Ommaney,2012,1
